2021-06-30 11:06:21 INFO  BuildYourOwnComputerPage :72 - Getting total price from element [[ChromeDriver: chrome on WINDOWS (245b53daf3438f6d49ca37318e036ebf)] -> xpath: //div[@class='product-price']/span[@id='price-value-1']]
2021-06-30 11:06:688 INFO  BasePage :29 - Launching Chrome Browser 
2021-06-30 11:06:175 INFO  HomePage :48 - Mouse hover on computer tab element [[ChromeDriver: chrome on WINDOWS (c465b6d8174dbd9a3a0ff893aeac7895)] -> xpath: (//a[@href='/computers'])[1]]
2021-06-30 11:06:224 INFO  HomePage :54 - Getting text from computer sub product element [[ChromeDriver: chrome on WINDOWS (c465b6d8174dbd9a3a0ff893aeac7895)] -> xpath: (//ul[@class='sublist first-level'])[1]//li]
2021-06-30 11:06:791 INFO  HomePage :58 - Clicking computer sub menu product element [[ChromeDriver: chrome on WINDOWS (c465b6d8174dbd9a3a0ff893aeac7895)] -> xpath: (//ul[@class='sublist first-level'])[1]//li]
2021-06-30 11:06:199 INFO  DesktopsPage :48 - Click on add to cart button [[ChromeDriver: chrome on WINDOWS (c465b6d8174dbd9a3a0ff893aeac7895)] -> xpath: (//button[@class='button-2 product-box-add-to-cart-button'])[1]]
2021-06-30 11:06:745 INFO  BuildYourOwnComputerPage :42 - Getting build computer text[[ChromeDriver: chrome on WINDOWS (c465b6d8174dbd9a3a0ff893aeac7895)] -> xpath: //h1[contains(text(),'Build your own computer')]]
2021-06-30 11:06:946 INFO  BuildYourOwnComputerPage :48 - Select processor option [[ChromeDriver: chrome on WINDOWS (c465b6d8174dbd9a3a0ff893aeac7895)] -> xpath: //dd[@id='product_attribute_input_1']/select[@id='product_attribute_1']]
2021-06-30 11:06:111 INFO  BuildYourOwnComputerPage :53 - Select RAM option [[ChromeDriver: chrome on WINDOWS (c465b6d8174dbd9a3a0ff893aeac7895)] -> xpath: //dd[@id='product_attribute_input_2']/select[@id='product_attribute_2']]
2021-06-30 11:06:229 INFO  BuildYourOwnComputerPage :58 - Click on radio button [[ChromeDriver: chrome on WINDOWS (c465b6d8174dbd9a3a0ff893aeac7895)] -> xpath: //ul[@class='option-list']/li[@data-attr-value='7']/input[@id='product_attribute_3_7']]
2021-06-30 11:06:363 INFO  BuildYourOwnComputerPage :63 - Click on radio button [[ChromeDriver: chrome on WINDOWS (c465b6d8174dbd9a3a0ff893aeac7895)] -> xpath: //li[@data-attr-value='9']/input[@id='product_attribute_4_9']]
2021-06-30 11:06:409 INFO  BuildYourOwnComputerPage :72 - Getting total price from element [[ChromeDriver: chrome on WINDOWS (c465b6d8174dbd9a3a0ff893aeac7895)] -> xpath: //div[@class='product-price']/span[@id='price-value-1']]
2021-06-30 11:06:550 INFO  BuildYourOwnComputerPage :78 - Click on add to cart button [[ChromeDriver: chrome on WINDOWS (c465b6d8174dbd9a3a0ff893aeac7895)] -> xpath: //div[@class='add-to-cart-panel']/button[@id='add-to-cart-button-1']]
2021-06-30 11:06:582 INFO  BuildYourOwnComputerPage :82 - Getting green bar message [[ChromeDriver: chrome on WINDOWS (c465b6d8174dbd9a3a0ff893aeac7895)] -> xpath: //body/div[@id='bar-notification']/div[1]/p[1]]
2021-06-30 12:06:470 INFO  BasePage :29 - Launching Chrome Browser 
2021-06-30 12:06:407 INFO  HomePage :48 - Mouse hover on computer tab element [[ChromeDriver: chrome on WINDOWS (fa09fd34fc3ec034e29fbb2e8878e55f)] -> xpath: (//a[@href='/computers'])[1]]
2021-06-30 12:06:442 INFO  HomePage :54 - Getting text from computer sub product element [[ChromeDriver: chrome on WINDOWS (fa09fd34fc3ec034e29fbb2e8878e55f)] -> xpath: (//ul[@class='sublist first-level'])[1]//li]
2021-06-30 12:06:777 INFO  BasePage :29 - Launching Chrome Browser 
2021-06-30 12:06:707 INFO  HomePage :48 - Mouse hover on computer tab element [[ChromeDriver: chrome on WINDOWS (851e3304a89ff5ea52b2f6421c8a6d76)] -> xpath: (//a[@href='/computers'])[1]]
2021-06-30 12:06:740 INFO  HomePage :54 - Getting text from computer sub product element [[ChromeDriver: chrome on WINDOWS (851e3304a89ff5ea52b2f6421c8a6d76)] -> xpath: (//ul[@class='sublist first-level'])[1]//li]
